jyhfkyf,3500
angel,212
sncwjdnfc,184
abcd,343
git,232
fmnfe,837
ang,763
ABC,198
tetris,432
qwerty,664
yuiop,952
iuh,194
tgwrt,194
sfgv,174
wrtg,190
Enter name,178
ghjk,178
iuhiuh,170
kjnc,344
angw,174
aerf,190
efv,186
ervce,176
aerf,186
aefva,182
krwjhfkwhf,475
angg,1242
kavish,1200
hello,194
abcds,529
hyyyy,168
sdgiuagds,617

